k	3.000000 	 M	12	 rho	1.333333	 D	10 	 L_mean	1866.301704 	 L_feasible	27 	 sum_bw	2133 	 net_u	0.126185		 timeTopo	17.8530 	 Tong link 	12 	Efficiency 	 0.444444 	 Avg links/path 	3.300000 	 Tong BER 	1.933550e-06
k	2.000000 	 M	6	 rho	1.500000	 D	7 	 L_mean	968.958327 	 L_feasible	13 	 sum_bw	1532 	 net_u	0.129538		 timeTopo	4.9060 	 Tong link 	7 	Efficiency 	 0.538462 	 Avg links/path 	1.857143 	 Tong BER 	2.272577e-14
k	2.500000 	 M	7	 rho	1.120000	 D	10 	 L_mean	1405.122200 	 L_feasible	13 	 sum_bw	2242 	 net_u	0.265385		 timeTopo	4.5000 	 Tong link 	7 	Efficiency 	 0.538462 	 Avg links/path 	2.100000 	 Tong BER 	2.046932e-07
k	2.500000 	 M	8	 rho	1.280000	 D	14 	 L_mean	1278.445579 	 L_feasible	18 	 sum_bw	2717 	 net_u	0.218278		 timeTopo	7.6570 	 Tong link 	10 	Efficiency 	 0.555556 	 Avg links/path 	2.642857 	 Tong BER 	3.380254e-05
k	3.000000 	 M	9	 rho	1.000000	 D	18 	 L_mean	1536.974775 	 L_feasible	21 	 sum_bw	3797 	 net_u	0.245952		 timeTopo	9.9080 	 Tong link 	12 	Efficiency 	 0.571429 	 Avg links/path 	2.444444 	 Tong BER 	5.835722e-05
k	3.000000 	 M	10	 rho	1.111111	 D	22 	 L_mean	1431.700997 	 L_feasible	27 	 sum_bw	4428 	 net_u	0.252815		 timeTopo	10.1570 	 Tong link 	20 	Efficiency 	 0.740741 	 Avg links/path 	3.272727 	 Tong BER 	1.574959e-04
k	3.000000 	 M	10	 rho	1.111111	 D	11 	 L_mean	1357.872772 	 L_feasible	24 	 sum_bw	2355 	 net_u	0.144958		 timeTopo	7.2340 	 Tong link 	13 	Efficiency 	 0.541667 	 Avg links/path 	2.545455 	 Tong BER 	4.020054e-05
k	4.000000 	 M	20	 rho	1.250000	 D	30 	 L_mean	1933.878269 	 L_feasible	75 	 sum_bw	5996 	 net_u	0.143200		 timeTopo	37.1590 	 Tong link 	36 	Efficiency 	 0.480000 	 Avg links/path 	4.433333 	 Tong BER 	6.316614e-06
k	2.000000 	 M	5	 rho	1.250000	 D	5 	 L_mean	1128.439157 	 L_feasible	8 	 sum_bw	1108 	 net_u	0.138500		 timeTopo	0.1560 	 Tong link 	4 	Efficiency 	 0.500000 	 Avg links/path 	1.800000 	 Tong BER 	5.964069e-05
k	2.000000 	 M	6	 rho	1.500000	 D	7 	 L_mean	968.958327 	 L_feasible	13 	 sum_bw	1532 	 net_u	0.129538		 timeTopo	0.1720 	 Tong link 	7 	Efficiency 	 0.538462 	 Avg links/path 	1.857143 	 Tong BER 	2.272577e-14
k	2.500000 	 M	7	 rho	1.120000	 D	10 	 L_mean	1405.122200 	 L_feasible	13 	 sum_bw	2242 	 net_u	0.265385		 timeTopo	0.2030 	 Tong link 	7 	Efficiency 	 0.538462 	 Avg links/path 	2.100000 	 Tong BER 	2.046932e-07
k	2.500000 	 M	8	 rho	1.280000	 D	14 	 L_mean	1278.445579 	 L_feasible	18 	 sum_bw	2717 	 net_u	0.218278		 timeTopo	0.2190 	 Tong link 	10 	Efficiency 	 0.555556 	 Avg links/path 	2.642857 	 Tong BER 	3.380254e-05
k	3.000000 	 M	9	 rho	1.000000	 D	18 	 L_mean	1536.974775 	 L_feasible	21 	 sum_bw	3797 	 net_u	0.245952		 timeTopo	0.2810 	 Tong link 	12 	Efficiency 	 0.571429 	 Avg links/path 	2.444444 	 Tong BER 	5.835722e-05
k	3.000000 	 M	10	 rho	1.111111	 D	22 	 L_mean	1431.700997 	 L_feasible	27 	 sum_bw	4428 	 net_u	0.252815		 timeTopo	0.3750 	 Tong link 	20 	Efficiency 	 0.740741 	 Avg links/path 	3.272727 	 Tong BER 	1.574959e-04
k	3.000000 	 M	10	 rho	1.111111	 D	11 	 L_mean	1357.872772 	 L_feasible	24 	 sum_bw	2355 	 net_u	0.144958		 timeTopo	0.3280 	 Tong link 	13 	Efficiency 	 0.541667 	 Avg links/path 	2.545455 	 Tong BER 	4.020054e-05
k	4.000000 	 M	20	 rho	1.250000	 D	30 	 L_mean	1933.878269 	 L_feasible	75 	 sum_bw	5996 	 net_u	0.143200		 timeTopo	0.9530 	 Tong link 	36 	Efficiency 	 0.480000 	 Avg links/path 	4.433333 	 Tong BER 	6.316614e-06
